Field Code,Description,Census Table,Universe
P0020046,American Indian and Alaska Native; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020047,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020048,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020049,Population of four races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020050,White; Black or African American; American Indian and Alaska Native; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020051,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020052,White; Black or African American; American Indian and Alaska Native; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020053,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020054,White; Black or African American; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020055,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020056,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020057,White; American Indian and Alaska Native; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020058,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020059,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020060,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020061,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020062,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020063,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020064,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020065,Population of five races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020066,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020067,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020068,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020069,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020070,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020071,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020072,Population of six races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020073,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0030001,Total:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030002,Population of one race:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030003,White alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030004,Black or African American alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030005,American Indian and Alaska Native alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030006,Asian alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030007,Native Hawaiian and Other Pacific Islander alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030008,Some Other Race alone,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030009,Population of two or more races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030010,Population of two races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030011,White; Black or African American,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030012,White; American Indian and Alaska Native,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030013,White; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030014,White; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030015,White; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030016,Black or African American; American Indian and Alaska Native,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030017,Black or African American; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030018,Black or African American; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030019,Black or African American; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030020,American Indian and Alaska Native; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030021,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030022,American Indian and Alaska Native; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030023,Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030024,Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030025,Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030026,Population of three races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030027,White; Black or African American; American Indian and Alaska Native,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030028,White; Black or African American; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030029,White; Black or African American; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030030,White; Black or African American; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030031,White; American Indian and Alaska Native; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030032,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030033,White; American Indian and Alaska Native; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030034,White; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030035,White; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030036,White; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030037,Black or African American; American Indian and Alaska Native; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030038,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030039,Black or African American; American Indian and Alaska Native; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030040,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030041,Black or African American; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030042,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030043,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030044,American Indian and Alaska Native; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030045,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030046,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030047,Population of four races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030048,White; Black or African American; American Indian and Alaska Native; Asian,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030049,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030050,White; Black or African American; American Indian and Alaska Native; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030051,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030052,White; Black or African American; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030053,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030054,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030055,White; American Indian and Alaska Native; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030056,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030057,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030058,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030059,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030060,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030061,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030062,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030063,Population of five races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030064,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030065,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030066,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030067,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030068,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030069,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030070,Population of six races:,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
P0030071,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P3. RACE FOR THE POPULATION 18 YEARS AND OVER,Total population 18 years and over
